Date;M1_Colombia_bn
31.01.2000;11317
29.02.2000;11696
31.03.2000;11945
28.04.2000;12123
31.05.2000;12564
30.06.2000;12600
31.07.2000;12984
31.08.2000;13084
29.09.2000;13211
31.10.2000;13154
30.11.2000;13869
29.12.2000;14231
31.01.2001;13920
28.02.2001;13852
30.03.2001;14019
30.04.2001;13931
31.05.2001;13918
29.06.2001;13979
31.07.2001;13878
31.08.2001;13937
28.09.2001;14242
31.10.2001;14554
30.11.2001;14908
28.12.2001;15969
31.01.2002;15107
28.02.2002;16172
28.03.2002;15801
30.04.2002;16376
31.05.2002;16650
28.06.2002;17098
31.07.2002;17610
30.08.2002;17952
30.09.2002;17998
31.10.2002;18375
29.11.2002;18082
30.12.2002;18446
31.01.2003;18721
28.02.2003;18876
31.03.2003;19005
30.04.2003;19422
30.05.2003;18852
30.06.2003;19414
31.07.2003;20165
29.08.2003;20201
30.09.2003;20661
31.10.2003;20889
28.11.2003;21154
30.12.2003;21243
30.01.2004;21813
27.02.2004;22076
31.03.2004;22684
30.04.2004;21814
28.05.2004;22104
30.06.2004;22788
30.07.2004;22607
31.08.2004;22707
30.09.2004;23701
29.10.2004;23532
30.11.2004;23885
30.12.2004;24840
31.01.2005;24974
28.02.2005;25346
31.03.2005;26094
29.04.2005;26149
31.05.2005;26266
30.06.2005;27252
29.07.2005;26802
31.08.2005;27825
30.09.2005;27529
31.10.2005;27967
30.11.2005;29977
30.12.2005;29274
31.01.2006;29674
28.02.2006;29767
31.03.2006;30238
28.04.2006;30783
31.05.2006;32400
30.06.2006;32824
31.07.2006;33639
31.08.2006;35010
29.09.2006;34067
31.10.2006;34472
30.11.2006;35259
29.12.2006;34652
31.01.2007;35317
28.02.2007;35881
30.03.2007;35757
30.04.2007;36786
31.05.2007;37049
29.06.2007;36147
31.07.2007;36852
31.08.2007;36473
28.09.2007;38323
31.10.2007;39939
30.11.2007;38179
28.12.2007;38906
31.01.2008;38900
29.02.2008;38578
31.03.2008;38936
30.04.2008;39521
30.05.2008;38821
30.06.2008;39518
31.07.2008;41254
29.08.2008;40099
30.09.2008;40351
31.10.2008;41545
28.11.2008;41287
30.12.2008;42217
30.01.2009;42154
27.02.2009;43112
31.03.2009;43041
30.04.2009;42936
29.05.2009;43432
30.06.2009;43854
31.07.2009;44067
31.08.2009;44501
30.09.2009;44853
30.10.2009;44787
30.11.2009;45800
30.12.2009;45436
29.01.2010;47373
26.02.2010;47339
31.03.2010;48154
30.04.2010;48952
31.05.2010;49493
30.06.2010;50562
30.07.2010;50751
31.08.2010;51597
30.09.2010;52387
29.10.2010;52374
30.11.2010;52896
30.12.2010;53548
31.01.2011;55053
28.02.2011;56479
31.03.2011;57162
29.04.2011;56882
31.05.2011;57668
30.06.2011;58146
29.07.2011;58684
31.08.2011;59859
30.09.2011;60144
31.10.2011;61367
30.11.2011;62965
30.12.2011;62555
31.01.2012;60799
29.02.2012;60391
30.03.2012;60281
30.04.2012;61657
31.05.2012;62543
29.06.2012;61830
31.07.2012;62838
31.08.2012;62509
28.09.2012;63093
31.10.2012;64171
30.11.2012;64545
28.12.2012;66682
31.01.2013;65980
28.02.2013;66052
28.03.2013;67823
30.04.2013;69171
31.05.2013;69924
28.06.2013;72090
31.07.2013;72928
30.08.2013;73634
30.09.2013;74287
31.10.2013;74916
29.11.2013;75677
30.12.2013;76401
31.01.2014;77991
28.02.2014;79400
31.03.2014;80410
30.04.2014;81449
30.05.2014;81802
30.06.2014;82017
31.07.2014;82458
29.08.2014;82712
30.09.2014;84019
31.10.2014;83919
28.11.2014;84479
30.12.2014;85477
30.01.2015;87309
27.02.2015;86048
31.03.2015;87726
30.04.2015;87453
29.05.2015;88876
30.06.2015;90888
31.07.2015;90421
31.08.2015;92950
30.09.2015;93344
30.10.2015;93558
30.11.2015;95262
30.12.2015;94441
29.01.2016;94629
29.02.2016;95923
31.03.2016;95710
29.04.2016;95374
31.05.2016;94543
30.06.2016;92952
29.07.2016;93882
31.08.2016;94265
30.09.2016;91961
31.10.2016;94431
30.11.2016;93983
30.12.2016;93171
31.01.2017;94045
28.02.2017;95538
31.03.2017;93131
28.04.2017;93276
31.05.2017;94531
30.06.2017;94139
31.07.2017;95456
31.08.2017;95006
29.09.2017;95711
31.10.2017;96627
30.11.2017;96728
29.12.2017;99035
31.01.2018;98618
28.02.2018;99796
29.03.2018;99944
30.04.2018;99982
31.05.2018;100309
29.06.2018;100061
31.07.2018;102129
31.08.2018;101981
28.09.2018;102703
31.10.2018;103649
30.11.2018;104339
31.12.2018;106158
31.01.2019;106797
28.02.2019;107403
29.03.2019;108990
30.04.2019;110660
31.05.2019;111081
29.06.2019;112256
31.07.2019;113223
31.08.2019;115408
28.09.2019;116836
31.10.2019;117001
30.11.2019;119362
31.12.2019;116601
31.01.2020;118470
28.02.2020;119585
29.03.2020;138196
30.04.2020;142695
31.05.2020;144837
29.06.2020;146337
31.07.2020;143885
31.08.2020;146277
